Name,Full Address,Street,Municipality,Categories,Price,Phone,Claimed,Review Count,Average Rating,Review Url,Cid,Featured Image,Latitude,Longitude,Website,Domain,Opening Hours,Google Knowledge Url,Kgmid,Google Maps Url,Place Id,Emails,Facebook Links,Instagram Links,Youtube Links,Tiktok Links,Linkedin Links,Twitter Links,Yelp Links,Pinterest Links,Search Keyword
Exigent Technologies | NYC Managed IT Services,"845 3rd Ave fl 6, New York, NY 10022",845 3rd Ave fl 6,"New York, NY 10022","Computer support and services, Business to business service, Computer consultant, Computer networking service, Computer security service, Computer service, Data recovery service, Information services",,(646) 392-8966,YES,,4.9,https://search.google.com/local/reviews?placeid=ChIJl5NDPuNYwokRIq6nuGklaFw&authuser=0&hl=en&gl=US,6658613185067068962,,40.75671,-73.96988999999999,www.exigent.net/contact/office-locations/nyc-it-services/,exigent.net,Sunday(2026-02-01): [Closed],https://www.google.com/search?kgmid=/g/11gzlmdtk,/g/11gzlmdtk,https://www.google.com/maps?cid=6658613185067068962,ChIJl5NDPuNYwokRIq6nuGklaFw,,,,,,,,,,IT services company in United States of America
ProTech IT Solutions | New York IT Support & Managed IT Services Company,"60 E 42nd St, New York, NY 10165",60 E 42nd St,"New York, NY 10165","Computer support and services, Business management consultant, Business networking company, Business to business service, Computer consultant, Computer networking service, Computer security service, Computer service, Data recovery service, Information services",,(855) 651-3752,YES,,5,https://search.google.com/local/reviews?placeid=ChIJPTNHoAFZwokRaqT88zpjQv8&authuser=0&hl=en&gl=US,18393372932987200618,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=81mk35AFtTRtGyPY6LiSsg&cb_client=search.gws-prod.gps&w=80&h=92&yaw=207.58675&pitch=0&thumbfov=100,40.752123399999995,-73.9787369,www.protechitsolutions.com/new-york-city-it-support-and-managed-it-services/?utm_source=gbp&utm_medium=gbp&utm_campaign=gbp_organic,protechitsolutions.com,Sunday(2026-02-01): [Closed],https://www.google.com/search?kgmid=/g/1hhw1j7cx,/g/1hhw1j7cx,https://www.google.com/maps?cid=18393372932987200618,ChIJPTNHoAFZwokRaqT88zpjQv8,,,,,,,,,,IT services company in United States of America
"OTS Solutions - Leading IT Consulting and Services Firm in New York, USA","315 W 36th St., New York, NY 10018",315 W 36th St.,"New York, NY 10018",Software company,,(732) 588-7500,YES,,5,https://search.google.com/local/reviews?placeid=ChIJnbr2woa4w4kRwYyx2QXbmVY&authuser=0&hl=en&gl=US,6240259576872144065,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=oOYZ6Z6G0jNyr2qZF5OYHQ&cb_client=search.gws-prod.gps&w=80&h=92&yaw=27.877762&pitch=0&thumbfov=100,40.754057499999995,-73.9933502,www.otssolutions.com/,otssolutions.com,Sunday(2026-02-01): [Closed],https://www.google.com/search?kgmid=/g/11bycjyh_h,/g/11bycjyh_h,https://www.google.com/maps?cid=6240259576872144065,ChIJnbr2woa4w4kRwYyx2QXbmVY,,,,,,,,,,IT services company in United States of America
Netsurit – NYC Managed IT Services Company,"224 W 30th St #1008, New York, NY 10001",224 W 30th St #1008,"New York, NY 10001","Computer support and services, Computer consultant, Computer security service, Computer service, Data recovery service",,(844) 638-3683,YES,,4.5,https://search.google.com/local/reviews?placeid=ChIJ7cH29FZZwokR81icEZ0DhzI&authuser=0&hl=en&gl=US,3640882796892543219,,40.748827,-73.993757,netsurit.com/en-us/managed-it-services-new-york-city/,netsurit.com,Sunday(2026-02-01): [Open 24 hours],https://www.google.com/search?kgmid=/g/1hm59_jr5,/g/1hm59_jr5,https://www.google.com/maps?cid=3640882796892543219,ChIJ7cH29FZZwokR81icEZ0DhzI,,,,,,,,,,IT services company in United States of America
IT Consulting Solutions,"100 Metroplex Dr Suite 207, Edison, NJ 08817",100 Metroplex Dr Suite 207,"Edison, NJ 08817",Software company,,(732) 985-5100,YES,,4.2,https://search.google.com/local/reviews?placeid=ChIJGZjLAefHw4kRJLUHA0-7E40&authuser=0&hl=en&gl=US,10165674731932988708,,40.520717399999995,-74.4105139,www.itamerica.com/,itamerica.com,Sunday(2026-02-01): [Closed],https://www.google.com/search?kgmid=/g/1tddyqfz,/g/1tddyqfz,https://www.google.com/maps?cid=10165674731932988708,ChIJGZjLAefHw4kRJLUHA0-7E40,,,,,,,,,,IT services company in United States of America
Ascendant | New Jersey Managed IT Services Company,"265 Davidson Ave Suite 110, Somerset, NJ 08873",265 Davidson Ave Suite 110,"Somerset, NJ 08873","Computer support and services, Business networking company, Business to business service, Computer consultant, Computer networking service, Computer security service, Computer service, Data recovery service, Information services",,(732) 563-2675,YES,,4.9,https://search.google.com/local/reviews?placeid=ChIJh6J-Qr3Aw4kRTyUErzYppaw&authuser=0&hl=en&gl=US,12440394860522120527,,40.5342431,-74.5287505,ascendantusa.com/?utm_source=localfx&utm_medium=organic&utm_campaign=localfx,ascendantusa.com,Sunday(2026-02-01): [Closed],https://www.google.com/search?kgmid=/g/1tsyl3q3,/g/1tsyl3q3,https://www.google.com/maps?cid=12440394860522120527,ChIJh6J-Qr3Aw4kRTyUErzYppaw,,,,,,,,,,IT services company in United States of America
IT Tec Solutions Inc.,"55 W 47th St #870, New York, NY 10036",55 W 47th St #870,"New York, NY 10036","Computer consultant, Computer support and services",,(212) 961-6996,YES,,4.8,https://search.google.com/local/reviews?placeid=ChIJ5yp_M_xYwokREnl4WvePncA&authuser=0&hl=en&gl=US,13879407919163275538,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=7oxQXHHleqw6S2zqYGOyoA&cb_client=search.gws-prod.gps&w=80&h=92&yaw=40.212917&pitch=0&thumbfov=100,40.7578716,-73.9809168,www.ittecs.com/,ittecs.com,Sunday(2026-02-01): [Closed],https://www.google.com/search?kgmid=/g/11b7y71gmf,/g/11b7y71gmf,https://www.google.com/maps?cid=13879407919163275538,ChIJ5yp_M_xYwokREnl4WvePncA,,,,,,,,,,IT services company in United States of America
Power Consulting Group - NYC Managed IT Services Company,"127 W 26th St 8th floor, New York, NY 10001",127 W 26th St 8th floor,"New York, NY 10001","Computer support and services, Computer consultant, Computer security service, Computer service, Data recovery service",,(855) 250-4634,YES,,4.7,https://search.google.com/local/reviews?placeid=ChIJJ1pXcqVZwokRtAPD_WaiuTA&authuser=0&hl=en&gl=US,3511015947739792308,,40.7455052,-73.9925205,powerconsulting.com/managed-it/,powerconsulting.com,Sunday(2026-02-01): [Open 24 hours],https://www.google.com/search?kgmid=/g/11b808wt19,/g/11b808wt19,https://www.google.com/maps?cid=3511015947739792308,ChIJJ1pXcqVZwokRtAPD_WaiuTA,,,,,,,,,,IT services company in United States of America
Magneto IT Solutions LLC - eCommerce Development Company,"347 5th Ave, New York, NY 10016",347 5th Ave,"New York, NY 10016","E commerce agency, Software company, Website designer",,+1 416-904-4907,YES,,5,https://search.google.com/local/reviews?placeid=ChIJ4Q6U6KJZwokR7bQbOg5KxKo&authuser=0&hl=en&gl=US,12305041506847929581,,40.748071499999995,-73.98458,magnetoitsolutions.com/,magnetoitsolutions.com,Sunday(2026-02-01): [Closed],https://www.google.com/search?kgmid=/g/11lgtg22rv,/g/11lgtg22rv,https://www.google.com/maps?cid=12305041506847929581,ChIJ4Q6U6KJZwokR7bQbOg5KxKo,,,,,,,,,,IT services company in United States of America
"ANGLER Technologies USA Inc - Development of Android & iOS Mobile Apps, Open Source & Microsoft, End-to-end Software Testing","305 Madison Ave #449, New York, NY 10165",305 Madison Ave #449,"New York, NY 10165",Software company,,(646) 290-8609,YES,,,https://search.google.com/local/reviews?placeid=ChIJB4AsfHtZwokRMwUAITA6nig&authuser=0&hl=en&gl=US,2926840786223891763,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=_LR822D_u1Mrd_rrC1kSfg&cb_client=search.gws-prod.gps&w=80&h=92&yaw=109.53937&pitch=0&thumbfov=100,40.7523183,-73.9792271,www.angleritech.com/,angleritech.com,Sunday(2026-02-01): [Closed],https://www.google.com/search?kgmid=/g/11hywk971p,/g/11hywk971p,https://www.google.com/maps?cid=2926840786223891763,ChIJB4AsfHtZwokRMwUAITA6nig,,,,,,,,,,IT services company in United States of America
