Name,Full Address,Street,Municipality,Categories,Price,Phone,Claimed,Review Count,Average Rating,Review Url,Cid,Featured Image,Latitude,Longitude,Website,Domain,Opening Hours,Google Knowledge Url,Kgmid,Google Maps Url,Place Id,Emails,Facebook Links,Instagram Links,Youtube Links,Tiktok Links,Linkedin Links,Twitter Links,Yelp Links,Pinterest Links,Search Keyword
Milford Real Estate,"1822 N 169th Plaza, Omaha, NE 68118",1822 N 169th Plaza,"Omaha, NE 68118","Real estate agency, Commercial real estate agency, Industrial real estate agency, Real estate agent, Real estate consultant",,(402) 880-0202,YES,,5,https://search.google.com/local/reviews?placeid=ChIJLYvPpW_yk4cRJr-gNiTOJP4&authuser=0&hl=en&gl=US,18312988639725928230,,41.2766242,-96.1793754,realestate.milford.com/,realestate.milford.com,Sunday(2026-01-25): [Open 24 hours],https://www.google.com/search?kgmid=/g/1q5hrs3cl,/g/1q5hrs3cl,https://www.google.com/maps?cid=18312988639725928230,ChIJLYvPpW_yk4cRJr-gNiTOJP4,,,,,,,,,,Real estate companies
Michelle Hiers Real Estate Agent,"229 S Main St, Council Bluffs, IA 51503",229 S Main St,"Council Bluffs, IA 51503",Real estate agent,,(402) 651-1896,YES,,4.9,https://search.google.com/local/reviews?placeid=ChIJoTbvgvyEk4cR4FSH2cIZwwg&authuser=0&hl=en&gl=US,631376697425876192,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=2W3BSI3c2D7KM6EW23_e2A&cb_client=search.gws-prod.gps&w=80&h=92&yaw=109.47464&pitch=0&thumbfov=100,41.2572186,-95.8504057,michellehiers.com/,michellehiers.com,Sunday(2026-01-25): [Open 24 hours],https://www.google.com/search?kgmid=/g/11c72m7zwb,/g/11c72m7zwb,https://www.google.com/maps?cid=631376697425876192,ChIJoTbvgvyEk4cR4FSH2cIZwwg,,,,,,,,,,Real estate companies
"Clarkson Realty Group, LPT Realty","2425 N Ankeny Blvd Ste 101, Ankeny, IA 50023",2425 N Ankeny Blvd Ste 101,"Ankeny, IA 50023","Real estate agency, Real estate agent",,(515) 554-2249,YES,,5,https://search.google.com/local/reviews?placeid=ChIJBajuBrqF7ocRQzAaaQAWDuQ&authuser=0&hl=en&gl=US,16433096281340653635,,41.751377399999996,-93.59963139999999,www.clarksonrealtygroup.com/,clarksonrealtygroup.com,Sunday(2026-01-25): [Open 24 hours],https://www.google.com/search?kgmid=/g/11g0j705xs,/g/11g0j705xs,https://www.google.com/maps?cid=16433096281340653635,ChIJBajuBrqF7ocRQzAaaQAWDuQ,,,,,,,,,,Real estate companies
"Kalona Realty, Inc.","221 1st St, Kalona, IA 52247",221 1st St,"Kalona, IA 52247",Real estate agency,,(319) 656-5299,YES,,5,https://search.google.com/local/reviews?placeid=ChIJLVfvVeYw5IcRjns4wygF3vY&authuser=0&hl=en&gl=US,17788661250792127374,,41.484035,-91.715519,www.kalonarealty.com/,kalonarealty.com,Sunday(2026-01-25): [Open 24 hours],https://www.google.com/search?kgmid=/g/1td5m7lm,/g/1td5m7lm,https://www.google.com/maps?cid=17788661250792127374,ChIJLVfvVeYw5IcRjns4wygF3vY,,,,,,,,,,Real estate companies
Iowa Realty South Lakes,"111 N 18th St, Centerville, IA 52544",111 N 18th St,"Centerville, IA 52544","Real estate agency, Real estate agent, Real estate consultant",,(641) 856-9350,YES,,4.6,https://search.google.com/local/reviews?placeid=ChIJSfPBxZbx6IcRpTqlwPBubTQ&authuser=0&hl=en&gl=US,3777797642736974501,,40.7329765,-92.8676471,www.iowarealtysouthlakes.com/,iowarealtysouthlakes.com,Sunday(2026-01-25): [Open 24 hours],https://www.google.com/search?kgmid=/g/1tj589vw,/g/1tj589vw,https://www.google.com/maps?cid=3777797642736974501,ChIJSfPBxZbx6IcRpTqlwPBubTQ,,,,,,,,,,Real estate companies
"The Briley Team, Berkshire Hathaway HomeServices Ambassador Real Estate","331 Village Pointe Plaza, Omaha, NE 68118",331 Village Pointe Plaza,"Omaha, NE 68118","Real estate agency, Real estate agent",,(402) 919-6777,YES,,5,https://search.google.com/local/reviews?placeid=ChIJLYvPpW_yk4cR0a67So8qhJ8&authuser=0&hl=en&gl=US,11494358943878852305,,41.2586769,-96.19259199999999,www.thebrileyteam.com/,thebrileyteam.com,Sunday(2026-01-25): [Open 24 hours],https://www.google.com/search?kgmid=/g/1tfbcnjs,/g/1tfbcnjs,https://www.google.com/maps?cid=11494358943878852305,ChIJLYvPpW_yk4cR0a67So8qhJ8,,,,,,,,,,Real estate companies
Realty One Group Impact | Susie Sheldahl,"113 W Broadway St, Polk City, IA 50226",113 W Broadway St,"Polk City, IA 50226","Real estate agency, Property investment company",,(515) 419-1620,YES,,5,https://search.google.com/local/reviews?placeid=ChIJnYG5X0CD7ocRLLFU2PVQeHU&authuser=0&hl=en&gl=US,8464604516469485868,,41.7713658,-93.712696,map.realtyonegroup.com/real-estate-agent/14873/susie-sheldahl,map.realtyonegroup.com,Sunday(2026-01-25): [Open 24 hours],https://www.google.com/search?kgmid=/g/11lkzzqj72,/g/11lkzzqj72,https://www.google.com/maps?cid=8464604516469485868,ChIJnYG5X0CD7ocRLLFU2PVQeHU,,,,,,,,,,Real estate companies
"AE Realty, Inc.","321 E Main St, Montezuma, IA 50171",321 E Main St,"Montezuma, IA 50171",Real estate agency,,(641) 623-2639,YES,,4.6,https://search.google.com/local/reviews?placeid=ChIJnVTOnLxg74cRIwyuKRlZUN4&authuser=0&hl=en&gl=US,16019401839165180963,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=QdRvuTwTOLNpNBjLt9yvAQ&cb_client=search.gws-prod.gps&w=80&h=92&yaw=348.1487&pitch=0&thumbfov=100,41.5854832,-92.5239678,www.aerealtyinc.com/,aerealtyinc.com,Sunday(2026-01-25): [Open 24 hours],https://www.google.com/search?kgmid=/g/11ddy_hwyd,/g/11ddy_hwyd,https://www.google.com/maps?cid=16019401839165180963,ChIJnVTOnLxg74cRIwyuKRlZUN4,,,,,,,,,,Real estate companies
Hometown Realty,"9 8th St SE, Spencer, IA 51301",9 8th St SE,"Spencer, IA 51301",Real estate agency,,(712) 260-5711,YES,,4.6,https://search.google.com/local/reviews?placeid=ChIJhSRV36nWjIcR5wSJf2CiJ8I&authuser=0&hl=en&gl=US,13990329302789981415,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=40VuRqk-uoxR8NaJYPswPg&cb_client=search.gws-prod.gps&w=80&h=92&yaw=57.482605&pitch=0&thumbfov=100,43.130398,-95.14321699999999,www.byhometown.com/,byhometown.com,Sunday(2026-01-25): [Open 24 hours],https://www.google.com/search?kgmid=/g/1tnqhh7z,/g/1tnqhh7z,https://www.google.com/maps?cid=13990329302789981415,ChIJhSRV36nWjIcR5wSJf2CiJ8I,,,,,,,,,,Real estate companies
Lynn Leaders - REALTOR,"535 W Broadway #100, Council Bluffs, IA 51503",535 W Broadway #100,"Council Bluffs, IA 51503",Real estate agent,,(402) 677-7653,YES,,4.6,https://search.google.com/local/reviews?placeid=ChIJn9ASHI-Fk4cR5CXB71HJ0AU&authuser=0&hl=en&gl=US,419056119097402852,,41.260806599999995,-95.8513275,lynnleaders.com/,lynnleaders.com,Sunday(2026-01-25): [Open 24 hours],https://www.google.com/search?kgmid=/g/1w4vkfg2,/g/1w4vkfg2,https://www.google.com/maps?cid=419056119097402852,ChIJn9ASHI-Fk4cR5CXB71HJ0AU,,,,,,,,,,Real estate companies
