Name,Full Address,Street,Municipality,Categories,Price,Phone,Claimed,Review Count,Average Rating,Review Url,Cid,Featured Image,Latitude,Longitude,Website,Domain,Opening Hours,Google Knowledge Url,Kgmid,Google Maps Url,Place Id,Emails,Facebook Links,Instagram Links,Youtube Links,Tiktok Links,Linkedin Links,Twitter Links,Yelp Links,Pinterest Links,Search Keyword
Jives Media,"800 6th Ave Suite 36C, New York, NY 10001",800 6th Ave Suite 36C,"New York, NY 10001","Marketing agency, Advertising agency, Internet marketing service, Marketing consultant, Website designer",,(929) 265-5595,YES,,4.9,https://search.google.com/local/reviews?placeid=ChIJr-cZk4ZZwokRu-ftpVM5lVQ&authuser=0&hl=en&gl=US,6094840702144735163,,40.7453911,-73.9904866,www.jivesmedia.com/digital-marketing-agency-in-manhattan-ny/,jivesmedia.com,Sunday(2026-02-01): [Open 24 hours],https://www.google.com/search?kgmid=/g/11jtxfx3x2,/g/11jtxfx3x2,https://www.google.com/maps?cid=6094840702144735163,ChIJr-cZk4ZZwokRu-ftpVM5lVQ,,,,,,,,,,marketing agency in United States of America
Leadige Media Group,"1501 Broadway 12th floor, New York, NY 10036",1501 Broadway 12th floor,"New York, NY 10036","Marketing agency, Advertising agency, Design agency, E commerce agency, Graphic designer, Marketing consultant, Media company, Website designer",,(646) 303-7851,YES,,4.9,https://search.google.com/local/reviews?placeid=ChIJbxOq5lRYwokR5rEg-CKSzyA&authuser=0&hl=en&gl=US,2364269008282235366,,40.757068,-73.986446,leadige.agency/,leadige.agency,Sunday(2026-02-01): [9 AM–6 PM],https://www.google.com/search?kgmid=/g/12lkcfsch,/g/12lkcfsch,https://www.google.com/maps?cid=2364269008282235366,ChIJbxOq5lRYwokR5rEg-CKSzyA,,,,,,,,,,marketing agency in United States of America
DS&P Digital Marketing & PR Agency,"590 Madison Ave 21st floor, New York, NY 10022",590 Madison Ave 21st floor,"New York, NY 10022","Marketing agency, Advertising agency, Graphic designer, Internet marketing service, Public relations firm, Video editing service, Website designer",,(888) 722-1998,YES,,4.9,https://search.google.com/local/reviews?placeid=ChIJgbi0nppZwokRT0JQjq8pMaI&authuser=0&hl=en&gl=US,11687168341986787919,,40.762169799999995,-73.9728933,www.dial911fordesign.com/,dial911fordesign.com,Sunday(2026-02-01): [Closed],https://www.google.com/search?kgmid=/g/11spmcg4_6,/g/11spmcg4_6,https://www.google.com/maps?cid=11687168341986787919,ChIJgbi0nppZwokRT0JQjq8pMaI,,,,,,,,,,marketing agency in United States of America
Marz Agency,"21 Grand Ave #618, Palisades Park, NJ 07650",21 Grand Ave #618,"Palisades Park, NJ 07650","Marketing agency, Advertising agency, Branding agency, Internet marketing service, Website designer",,(201) 273-9006,YES,,5,https://search.google.com/local/reviews?placeid=ChIJ8zlY6Kn3wokR4OSQlcv7Ij4&authuser=0&hl=en&gl=US,4477417831365928160,,40.8453991,-74.005364,marzagency.com/,marzagency.com,Sunday(2026-02-01): [Closed],https://www.google.com/search?kgmid=/g/11nfmxj07s,/g/11nfmxj07s,https://www.google.com/maps?cid=4477417831365928160,ChIJ8zlY6Kn3wokR4OSQlcv7Ij4,,,,,,,,,,marketing agency in United States of America
Aumcore,"33 Irving Pl, New York, NY 10003",33 Irving Pl,"New York, NY 10003","Marketing agency, Advertising agency, E-commerce service, Internet marketing service, Website designer",,(212) 776-1414,YES,,4.9,https://search.google.com/local/reviews?placeid=ChIJn9OD1c1ZwokRhoWrwigAa7s&authuser=0&hl=en&gl=US,13504888082665276806,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=0zN-adbJRMfzIN7eCnzpZw&cb_client=search.gws-prod.gps&w=80&h=92&yaw=320.5701&pitch=0&thumbfov=100,40.735082999999996,-73.9881983,www.aumcore.com/?utm_source=google&utm_medium=organic&utm_campaign=GMB,aumcore.com,Sunday(2026-02-01): [Closed],https://www.google.com/search?kgmid=/g/11h5vz78my,/g/11h5vz78my,https://www.google.com/maps?cid=13504888082665276806,ChIJn9OD1c1ZwokRhoWrwigAa7s,,,,,,,,,,marketing agency in United States of America
Clickmen™ Digital Marketing Agency,"45 Rockefeller Plaza, New York, NY 10111",45 Rockefeller Plaza,"New York, NY 10111","Internet marketing service, Advertising agency, Design agency, Graphic designer, Marketing agency, Marketing consultant, Media company, Public relations firm, Web hosting company, Website designer",,(917) 444-3666,YES,,5,https://search.google.com/local/reviews?placeid=ChIJzbMUeBDNZSUR180NiXJXuX8&authuser=0&hl=en&gl=US,9203483462945590743,,40.7591523,-73.9777136,clickmen.us/en/digital-marketing-agency-in-nyc-new-york-ny/,clickmen.us,Sunday(2026-02-01): [Closed],https://www.google.com/search?kgmid=/g/11w43n2yct,/g/11w43n2yct,https://www.google.com/maps?cid=9203483462945590743,ChIJzbMUeBDNZSUR180NiXJXuX8,,,,,,,,,,marketing agency in United States of America
inBeat Agency,"90 Broad St 2nd Floor, New York, NY 10004",90 Broad St 2nd Floor,"New York, NY 10004","Marketing agency, Advertising agency, Public relations firm",,(212) 466-6915,YES,,4.9,https://search.google.com/local/reviews?placeid=ChIJi9vNpqNbwokRPSAYqe39m8w&authuser=0&hl=en&gl=US,14743657002313457725,,40.7037765,-74.01190319999999,inbeat.agency/locations/new-york/influencer-marketing,inbeat.agency,Sunday(2026-02-01): [Open 24 hours],https://www.google.com/search?kgmid=/g/11nftss620,/g/11nftss620,https://www.google.com/maps?cid=14743657002313457725,ChIJi9vNpqNbwokRPSAYqe39m8w,,,,,,,,,,marketing agency in United States of America
"Estes Media - Digital Marketing Agency, NJ","2500 Harborside Financial Center Platform 25th floor, Jersey City, NJ 07302",2500 Harborside Financial Center Platform 25th floor,"Jersey City, NJ 07302","Marketing agency, Business management consultant, Internet marketing service, Marketing consultant, Public relations firm, Website designer",,(551) 346-2647,YES,,5,https://search.google.com/local/reviews?placeid=ChIJtwskUt1XwokRf4mxaDcGpOo&authuser=0&hl=en&gl=US,16907645736105118079,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=EMDI9q278Rv1yeQYPA4I1w&cb_client=search.gws-prod.gps&w=80&h=92&yaw=296.15958&pitch=0&thumbfov=100,40.7186728,-74.0348837,www.estesmedia.com/,estesmedia.com,Sunday(2026-02-01): [Closed],https://www.google.com/search?kgmid=/g/11hzx3nrk4,/g/11hzx3nrk4,https://www.google.com/maps?cid=16907645736105118079,ChIJtwskUt1XwokRf4mxaDcGpOo,,,,,,,,,,marketing agency in United States of America
Hunter Digital Marketing Agency - Social Media & Search Marketing Agency in New York,"137 W 25th St 11th floor, New York, NY 10001",137 W 25th St 11th floor,"New York, NY 10001","Marketing agency, Advertising agency, Internet marketing service, Marketing consultant",,(212) 202-1431,YES,,4.9,https://search.google.com/local/reviews?placeid=ChIJKVHKB8eIwokRhszh3A1sxLQ&authuser=0&hl=en&gl=US,13025654829058477190,,40.745069199999996,-73.9934267,hunterdigitalmarketing.com/,hunterdigitalmarketing.com,Sunday(2026-02-01): [9 AM–6 PM],https://www.google.com/search?kgmid=/g/1td4l13m,/g/1td4l13m,https://www.google.com/maps?cid=13025654829058477190,ChIJKVHKB8eIwokRhszh3A1sxLQ,,,,,,,,,,marketing agency in United States of America
Organic Digital Marketing,"444E East 86th St, New York, NY 10128",444E East 86th St,"New York, NY 10128",Internet marketing service,,(646) 980-3907,YES,,4.6,https://search.google.com/local/reviews?placeid=ChIJt4SbUIhZwokRd8di-V1cbtU&authuser=0&hl=en&gl=US,15379331336202536823,,40.775972499999995,-73.9478532,www.digital-marketing-usa.com/,digital-marketing-usa.com,Sunday(2026-02-01): [Open 24 hours],https://www.google.com/search?kgmid=/g/11h39lwhx0,/g/11h39lwhx0,https://www.google.com/maps?cid=15379331336202536823,ChIJt4SbUIhZwokRd8di-V1cbtU,,,,,,,,,,marketing agency in United States of America
