Name,Full Address,Street,Municipality,Categories,Price,Phone,Claimed,Review Count,Average Rating,Review Url,Cid,Featured Image,Latitude,Longitude,Website,Domain,Opening Hours,Google Knowledge Url,Kgmid,Google Maps Url,Place Id,Emails,Facebook Links,Instagram Links,Youtube Links,Tiktok Links,Linkedin Links,Twitter Links,Yelp Links,Pinterest Links,Search Keyword
Agicent App Company NYC,"60 E 42nd St 46th floor, New York, NY 10165",60 E 42nd St 46th floor,"New York, NY 10165","Software company, Computer consultant, Computer service, Website designer",,(646) 466-4369,YES,,5,https://search.google.com/local/reviews?placeid=ChIJpXA7cnZZwokRIWR-QLMXF3U&authuser=0&hl=en&gl=US,8437238485550523425,,40.7521961,-73.9787133,www.agicent.com/,agicent.com,Sunday(2026-02-01): [Open 24 hours],https://www.google.com/search?kgmid=/g/11rwpbbp_d,/g/11rwpbbp_d,https://www.google.com/maps?cid=8437238485550523425,ChIJpXA7cnZZwokRIWR-QLMXF3U,,,,,,,,,,software company in United States of America
HQSoftware,"315 Madison Ave #3045, New York, NY 10017",315 Madison Ave #3045,"New York, NY 10017",Software company,,(737) 600-8787,YES,,5,https://search.google.com/local/reviews?placeid=ChIJb7jKdT5ZwokRC42m0MyCWEY&authuser=0&hl=en&gl=US,5068945196791008523,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=W20x99jg6GrjxG8ehrOvbg&cb_client=search.gws-prod.gps&w=80&h=92&yaw=126.875465&pitch=0&thumbfov=100,40.752541199999996,-73.9792042,hqsoftwarelab.com/,hqsoftwarelab.com,Sunday(2026-02-01): [Closed],https://www.google.com/search?kgmid=/g/11qh8f43vw,/g/11qh8f43vw,https://www.google.com/maps?cid=5068945196791008523,ChIJb7jKdT5ZwokRC42m0MyCWEY,,,,,,,,,,software company in United States of America
Software Development Company : Cloudester Software LLC,"85 Delancey St, New York, NY 10002",85 Delancey St,"New York, NY 10002",Software company,,(929) 325-0230,YES,,5,https://search.google.com/local/reviews?placeid=ChIJC3YhFgRbwokRrjy16JGm5io&authuser=0&hl=en&gl=US,3091341339841084590,,40.7187485,-73.989578,cloudester.com/,cloudester.com,Sunday(2026-02-01): [Closed],https://www.google.com/search?kgmid=/g/11n_t4_sbk,/g/11n_t4_sbk,https://www.google.com/maps?cid=3091341339841084590,ChIJC3YhFgRbwokRrjy16JGm5io,,,,,,,,,,software company in United States of America
eLuminous Technologies - Software Development Company in USA | New York,"708 3rd Ave, New York, NY 10017",708 3rd Ave,"New York, NY 10017",Software company,,(484) 401-9147,YES,,3.8,https://search.google.com/local/reviews?placeid=ChIJjW07quEAiYARMQg7Rvpi3g0&authuser=0&hl=en&gl=US,999344994382448689,,40.7524167,-73.973565,,,Sunday(2026-02-01): [Closed],https://www.google.com/search?kgmid=/g/11rtf6ps6_,/g/11rtf6ps6_,https://www.google.com/maps?cid=999344994382448689,ChIJjW07quEAiYARMQg7Rvpi3g0,,,,,,,,,,software company in United States of America
New York Software Developers,"80 Broad St #500, New York, NY 10004",80 Broad St #500,"New York, NY 10004",Software company,,(212) 221-1348,YES,,4.5,https://search.google.com/local/reviews?placeid=ChIJLwvrBbBYwokRowr6ooGhVjg&authuser=0&hl=en&gl=US,4059609692278229667,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=XZHVz4mMz_fj9B0Jllye0Q&cb_client=search.gws-prod.gps&w=80&h=92&yaw=270.73767&pitch=0&thumbfov=100,40.7043392,-74.0117909,www.newyorksoftwaredevelopers.com/,newyorksoftwaredevelopers.com,Sunday(2026-02-01): [9 AM–6 PM],https://www.google.com/search?kgmid=/g/11byydyw9k,/g/11byydyw9k,https://www.google.com/maps?cid=4059609692278229667,ChIJLwvrBbBYwokRowr6ooGhVjg,,,,,,,,,,software company in United States of America
Unified Infotech | Best Software Development Company,"79 Madison Ave #723, Manhattan, NY 10016",79 Madison Ave #723,"Manhattan, NY 10016","Software company, Business development service, Design agency, E commerce agency, Graphic designer, Information services, Internet marketing service, Marketing agency, Web hosting company, Website designer",,(201) 761-9432,YES,,5,https://search.google.com/local/reviews?placeid=ChIJM_cIOWZZwokRv78LPpHO-24&authuser=0&hl=en&gl=US,7997212686532984767,,40.7441779,-73.98541809999999,www.unifiedinfotech.net/services/custom-software-development/?utm_source=referral&utm_medium=GMB+USA&utm_id=GMB,unifiedinfotech.net,Sunday(2026-02-01): [Closed],https://www.google.com/search?kgmid=/g/11g18_5z0_,/g/11g18_5z0_,https://www.google.com/maps?cid=7997212686532984767,ChIJM_cIOWZZwokRv78LPpHO-24,,,,,,,,,,software company in United States of America
ManuDyn Cloud 9 by Manufacturing Software USA,"54 W 40th St, New York, NY 10018",54 W 40th St,"New York, NY 10018",Software company,,+1 1300674357,NO,,5,https://search.google.com/local/reviews?placeid=ChIJY2Gxi6pZwokR_yKfJuj9fYg&authuser=0&hl=en&gl=US,9835296334769234687,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=wstvVXAJ-DKkCjmPP0lIWg&cb_client=search.gws-prod.gps&w=80&h=92&yaw=212.32153&pitch=0&thumbfov=100,40.752973999999995,-73.9842196,www.manudyn.com/contact-manufacturing-software.aspx,manudyn.com,,https://www.google.com/search?kgmid=/g/11c58nl662,/g/11c58nl662,https://www.google.com/maps?cid=9835296334769234687,ChIJY2Gxi6pZwokR_yKfJuj9fYg,,,,,,,,,,software company in United States of America
Enigma Technologies,"32 Mercer St 8th Fl, New York, NY 10013",32 Mercer St 8th Fl,"New York, NY 10013",Software company,,(800) 510-2856,NO,,4.7,https://search.google.com/local/reviews?placeid=ChIJsaezNIlZwokR4CqK6QNOU8E&authuser=0&hl=en&gl=US,13930563851097090784,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=lIOtaBSgi2wcn6PCIKC8VA&cb_client=search.gws-prod.gps&w=80&h=92&yaw=138.67206&pitch=0&thumbfov=100,40.7209772,-74.0015815,enigma.com/,enigma.com,,https://www.google.com/search?kgmid=/g/12q4v1gdh,/g/12q4v1gdh,https://www.google.com/maps?cid=13930563851097090784,ChIJsaezNIlZwokR4CqK6QNOU8E,,,,,,,,,,software company in United States of America
Oxagile - Custom Software Development Company,"165 Broadway 23rd Floor, New York, NY 10006",165 Broadway 23rd Floor,"New York, NY 10006",Software company,,(855) 466-9244,YES,,5,https://search.google.com/local/reviews?placeid=ChIJB269ZSj2wokRjYxFK6D65hM&authuser=0&hl=en&gl=US,1434109097191771277,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=NxJH5izT1SJDImOgO44r0w&cb_client=search.gws-prod.gps&w=80&h=92&yaw=353.16605&pitch=0&thumbfov=100,40.709619499999995,-74.01050839999999,www.oxagile.com/,oxagile.com,Sunday(2026-02-01): [Closed],https://www.google.com/search?kgmid=/g/11gz9qz67,/g/11gz9qz67,https://www.google.com/maps?cid=1434109097191771277,ChIJB269ZSj2wokRjYxFK6D65hM,,,,,,,,,,software company in United States of America
Hyperlink Infosystem,"285 Fulton St Suite 8500, New York, NY 10007",285 Fulton St Suite 8500,"New York, NY 10007",Software company,,(309) 791-4105,YES,,4.7,https://search.google.com/local/reviews?placeid=ChIJQxDwzxtawokRVYGbs089Gso&authuser=0&hl=en&gl=US,14563019757580943701,,40.713637999999996,-74.0087211,www.hyperlinkinfosystem.com/,hyperlinkinfosystem.com,Sunday(2026-02-01): [Open 24 hours],https://www.google.com/search?kgmid=/g/11f53pg47b,/g/11f53pg47b,https://www.google.com/maps?cid=14563019757580943701,ChIJQxDwzxtawokRVYGbs089Gso,,,,,,,,,,software company in United States of America
